,Publisher,Title,URL,Date,2022-12-07,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,Afghanistan,Bangui,Bashar al-Assad,Britain,China,Dmitry Peskov,Dmitry Utkin,Donbas,Emmanuel Macron,France,Germany,Hungary,Iran,Joe Biden,Kadiivka,Kharkiv,Kyiv,Libya,Luhansk,Mali,Moscow,Nigeria,Odesa,Poland,Prigozhin,Russia,Russian Federation,Saint Petersburg,Saudi Arabia,Serhiy Gaidai,St Petersburg,St. Petersburg,Sudan,Syria,U.S.,UK,US,Ukraine,Ukrainian,United States,Vladimir Putin,Volodymyr Zelensky,Washington,Yevgeny Nuzhin,Yevgeny Prigozhin,colonies
32,Kyiv Post,"Wagner Group Denies Sending Letter Bombs, Bloody Packages, to Ukrainian Embassies - Kyiv Post",https://www.kyivpost.com/russias-war/wagner-group-denies-sending-letter-bombs-bloody-packages-to-ukrainian-embassies.html,"Mon, 05 Dec 2022 08:19:37 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
33,CNN,Body of Zambian national killed fighting in Ukraine returns home - CNN,https://www.cnn.com/2022/12/12/africa/lemekhani-body-returns-zambia-intl/index.html,"Mon, 12 Dec 2022 18:08:00 GMT",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
34,Al Arabiya English,Ex-US Marine general among Russia’s Wagner mercenaries: Founder Prigozhin - Al Arabiya English,https://english.alarabiya.net/News/world/2022/11/25/Ex-US-Marine-general-among-Russia-s-Wagner-mercenaries-Founder-Prigozhin,"Fri, 25 Nov 2022 08:00:00 GMT",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
35,The Daily Beast,"Former U.S. Marine General Working for Putin's Private Army, Founder Claims - The Daily Beast",https://www.thedailybeast.com/wagner-group-founder-yevgeny-prigozhin-claims-former-us-marine-general-working-in-putins-private-army,"Fri, 25 Nov 2022 16:07:03 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Daily Mail,How the brutality of Russia's Wagner mercenaries echoes that of a reviled Nazi SS battalion - Daily Mail,https://www.dailymail.co.uk/news/article-11390513/How-brutality-Russias-Wagner-mercenaries-echoes-reviled-Nazi-SS-battalion.html,"Tue, 29 Nov 2022 08:00:00 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1
37,POLITICO,'The Merchant of Death Is Back in Action' - POLITICO,https://www.politico.com/news/magazine/2022/12/12/viktor-bout-merchant-of-death-00073422,"Mon, 12 Dec 2022 09:30:00 GMT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
38,The New Statesman,The brutal methods of Russia's Wagner Group - The New Statesman,https://www.newstatesman.com/world/europe/ukraine/2022/11/brutal-methods-russia-wagner-group-vladimir-putin,"Wed, 23 Nov 2022 08:00:00 GMT",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0
39,CNN,"December 5, 2022 Russia-Ukraine news - CNN",https://www.cnn.com/europe/live-news/russia-ukraine-war-news-12-05-22/index.html,"Mon, 05 Dec 2022 07:12:40 GMT",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,The Moscow Times,Wagner Group Founder Steps Up Feud With St. Petersburg Governor - The Moscow Times,https://www.themoscowtimes.com/2022/11/14/wagner-group-founder-steps-up-feud-with-st-petersburg-governor-a79369,"Mon, 14 Nov 2022 08:00:00 GMT",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
41,TRT World,Live blog: No 'final deal' on fresh EU sanctions against Russia - Borrell - TRT World,https://www.trtworld.com/europe/live-blog-no-final-deal-on-fresh-eu-sanctions-against-russia-borrell-63443,"Mon, 12 Dec 2022 03:46:40 GMT",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
42,Ukrinform,"Briefing on the case ""People of Ukraine against ""Wagner Group"" - Ukrinform",https://www.ukrinform.net/rubric-other_news/3627695-briefing-on-the-case-people-of-ukraine-against-wagner-group.html,"Mon, 05 Dec 2022 10:45:00 GMT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,ANI News,Russia's Wagner Group denies sending 'bloody packages' to Ukrainian embassies - ANI News,https://www.aninews.in/news/world/europe/russias-wagner-group-denies-sending-bloody-packages-to-ukrainian-embassies20221204075945,"Sun, 04 Dec 2022 08:00:00 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,ABC News,How two Australian soldiers became unwitting poster boys for Russian mercenary Wagner Group's Ukraine recruitment drive - ABC News,https://www.abc.net.au/news/2022-11-23/russia-ukraine-australian-soldiers-wagner-group/101677602,"Tue, 22 Nov 2022 08:00:00 GMT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
45,Atlantic Council,Russian War Report: Pro-Kremlin Telegram channels promote news of TV Rain losing broadcasting license in Latvia - Atlantic Council,https://www.atlanticcouncil.org/blogs/new-atlanticist/russian-war-report-pro-kremlin-telegram-channels-promote-news-of-tv-rain-losing-broadcasting-license-in-latvia/,"Fri, 09 Dec 2022 19:14:35 GMT",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
46,Euro Weekly News,Wagner Group boss Prigozhin mocks FBI offering a reward for his arrest - Euro Weekly News,https://euroweeklynews.com/2022/11/26/wagner-group-boss-prigozhin-mocks-fbi-offering-a-reward-for-his-arrest/,"Sat, 26 Nov 2022 08:00:00 GMT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
